ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
A_23_P152727,2.81E-02,3.14E-03,-3.18,-2.109841,-9.74E-01,PLEKHM1,pleckstrin homology and RUN domain containing M1
A_24_P379104,2.81E-02,3.14E-03,-3.18,-2.110115,-2.01,PIM2,"Pim-2 proto-oncogene, serine/threonine kinase"
A_24_P218509,2.81E-02,3.14E-03,-3.18,-2.110228,-7.70E-01,TM9SF3,transmembrane 9 superfamily member 3
A_24_P290572,2.81E-02,3.14E-03,3.18,-2.110519,7.55E-01,RBM25,RNA binding motif protein 25
A_24_P196878,2.81E-02,3.14E-03,-3.18,-2.111031,-1.67,,
A_23_P118842,2.81E-02,3.14E-03,3.18,-2.1119,1.76,KRTAP1-5,keratin associated protein 1-5
A_32_P124819,2.81E-02,3.14E-03,-3.18,-2.111931,-1.48,SEZ6L,seizure related 6 homolog like
A_23_P126135,2.81E-02,3.14E-03,3.18,-2.112174,6.26E-01,MFN2,mitofusin 2
A_23_P14184,2.81E-02,3.15E-03,3.18,-2.112465,9.98E-01,THSD1,thrombospondin type 1 domain containing 1
A_23_P88630,2.81E-02,3.15E-03,3.18,-2.113478,1.08,BLM,Bloom syndrome RecQ like helicase
A_23_P155989,2.81E-02,3.15E-03,3.18,-2.114725,1.38,CENPK,centromere protein K
A_24_P677471,2.82E-02,3.16E-03,3.18,-2.115354,7.14E-01,SDAD1P1,SDA1 domain containing 1 pseudogene 1
A_23_P258377,2.82E-02,3.16E-03,3.18,-2.116726,1.47,ERC1,ELKS/RAB6-interacting/CAST family member 1
A_32_P34516,2.82E-02,3.16E-03,-3.18,-2.117964,-2.24,XKR6,XK related 6
A_23_P20392,2.83E-02,3.17E-03,-3.17,-2.12028,-1.56,PSD3,pleckstrin and Sec7 domain containing 3
A_24_P383769,2.83E-02,3.17E-03,3.17,-2.120321,1.13,,
A_24_P772061,2.83E-02,3.17E-03,3.17,-2.121069,8.60E-01,PPIA,peptidylprolyl isomerase A
A_32_P121704,2.83E-02,3.18E-03,-3.17,-2.122723,-2.11,,
A_24_P219114,2.84E-02,3.18E-03,-3.17,-2.123638,-1.68,SEL1L,SEL1L ERAD E3 ligase adaptor subunit
A_23_P500936,2.84E-02,3.18E-03,3.17,-2.124031,2.97,FOXA2,forkhead box A2
A_23_P393531,2.84E-02,3.19E-03,3.17,-2.125196,9.00E-01,INPP4A,inositol polyphosphate-4-phosphatase type I A
A_32_P110390,2.84E-02,3.19E-03,3.17,-2.126216,1.54,TMEM171,transmembrane protein 171
A_23_P140738,2.85E-02,3.20E-03,3.17,-2.127121,8.92E-01,PIEZO1,piezo type mechanosensitive ion channel component 1
A_24_P14328,2.85E-02,3.20E-03,-3.17,-2.12772,-9.09E-01,ZNF564,zinc finger protein 564
A_23_P6066,2.85E-02,3.20E-03,-3.17,-2.128678,-1.59,CPXM1,"carboxypeptidase X, M14 family member 1"
A_32_P199420,2.85E-02,3.20E-03,-3.17,-2.12889,-1.29,,
A_23_P16469,2.85E-02,3.20E-03,3.17,-2.129241,1.7,PLAUR,"plasminogen activator, urokinase receptor"
A_23_P134314,2.85E-02,3.20E-03,3.17,-2.129803,6.85E-01,MPLKIP,M-phase specific PLK1 interacting protein
A_23_P156402,2.85E-02,3.21E-03,-3.17,-2.131152,-1.33,NME5,NME/NM23 family member 5
A_23_P95172,2.85E-02,3.21E-03,3.17,-2.131152,1.16,,
A_24_P277367,2.85E-02,3.21E-03,3.17,-2.131375,1.96,CXCL5,C-X-C motif chemokine ligand 5
